Date et heure,Nom du joueur,Avion,Temps,Temps intermédiaire,Temps (s),Temps intermédiaire (s),Ravitaillement
2021-05-26T02:29:27.000Z,VK-01 Az,M-2000C,23 min 27.980,14 min 33.120,1407.98,873.12,Oui
2021-05-26T08:11:28.000Z,64vFAS | Mitchos,FA-18C_hornet,28 min 05.680,17 min 50.770,1685.68,1070.77,Oui
2021-05-26T11:18:22.000Z,64vFAS | Mitchos,FA-18C_hornet,29 min 12.750,18 min 34.650,1752.75,1114.65,Oui
2021-05-26T14:46:39.000Z,JR-34 Detox,FA-18C_hornet,28 min 37.360,17 min 54.230,1717.36,1074.23,Oui
2021-05-26T16:10:09.000Z,JR-34 Detox,FA-18C_hornet,28 min 01.520,18 min 02.970,1681.52,1082.97,Oui
2021-05-26T16:57:38.000Z,JR-34 Detox,FA-18C_hornet,27 min 13.010,17 min 27.110,1633.01,1047.11,Oui
2021-05-26T17:19:14.000Z,VK-01 Az,M-2000C,23 min 19.060,14 min 32.970,1399.06,872.97,Oui
2021-05-26T17:44:10.000Z,VK-01 Az,M-2000C,23 min 15.110,14 min 32.870,1395.11,872.87,Oui
2021-05-26T21:39:26.000Z,64vFAS | Mitchos,FA-18C_hornet,28 min 34.740,17 min 45.490,1714.74,1065.49,Oui
2021-05-26T22:57:14.000Z,VK-01 Az,M-2000C,23 min 22.860,14 min 33.640,1402.86,873.64,Oui
2021-05-27T05:17:11.000Z,DidiTopGun,FA-18C_hornet,28 min 36.130,18 min 06.580,1716.13,1086.58,Oui
2021-05-27T06:49:45.000Z,DidiTopGun,FA-18C_hornet,28 min 31.700,17 min 35.410,1711.7,1055.41,Oui
2021-05-27T08:35:45.000Z,DidiTopGun,FA-18C_hornet,28 min 27.330,17 min 27.300,1707.33,1047.3,Oui
2021-05-27T11:45:01.000Z,JR-34 Detox,FA-18C_hornet,27 min 04.830,17 min 16.130,1624.83,1036.13,Oui
2021-05-27T22:51:53.000Z,R2D2,FA-18C_hornet,30 min 37.270,17 min 53.360,1837.27,1073.36,Oui
2021-05-28T15:46:23.000Z,R2D2,FA-18C_hornet,28 min 43.600,17 min 34.640,1723.6,1054.64,Oui
2021-05-28T21:40:09.000Z,R2D2,FA-18C_hornet,29 min 12.490,18 min 12.190,1752.49,1092.19,Oui
2021-05-28T22:11:35.000Z,R2D2,FA-18C_hornet,29 min 25.470,18 min 24.450,1765.47,1104.45,Oui
2021-05-29T10:37:41.000Z,VK-01 Az,M-2000C,23 min 08.330,14 min 37.310,1388.33,877.31,Oui
2021-05-29T17:18:42.000Z,R2D2,FA-18C_hornet,28 min 26.130,17 min 58.100,1706.13,1078.1,Oui
2021-05-29T17:19:46.000Z,yanou,FA-18C_hornet,29 min 48.150,18 min 34.970,1788.15,1114.97,Oui
2021-05-30T15:17:57.000Z,R2D2,FA-18C_hornet,28 min 32.400,17 min 44.250,1712.4,1064.25,Oui
2021-05-30T17:26:05.000Z,FX-12 Pikos,F-14B,27 min 40.710,15 min 23.540,1660.71,923.54,Non
2021-05-30T21:06:15.000Z,Tanic,M-2000C,28 min 15.640,18 min 21.540,1695.64,1101.54,Oui
2021-05-31T10:07:07.000Z,Tanic,M-2000C,28 min 12.190,17 min 46.120,1692.19,1066.12,Oui
2021-05-31T10:35:21.000Z,Tanic,M-2000C,26 min 46.590,16 min 42.210,1606.59,1002.21,Oui
2021-05-31T19:04:11.000Z,JTFF | Charly,M-2000C,23 min 05.660,14 min 41.710,1385.66,881.71,Oui
2021-05-31T21:45:31.000Z,JTFF | Charly,M-2000C,23 min 12.310,14 min 44.790,1392.31,884.79,Oui
2021-06-01T13:39:29.000Z,CoubyStark,F-14B,29 min 27.750,16 min 10.770,1767.75,970.77,Non
2021-06-01T15:17:16.000Z,VK-01 Az,M-2000C,23 min 14.150,14 min 34.510,1394.15,874.51,Oui
2021-06-01T20:30:46.000Z,VK-01 Az,M-2000C,23 min 05.620,14 min 30.120,1385.62,870.12,Oui
2021-06-01T21:51:07.000Z,R2D2,FA-18C_hornet,28 min 24.930,18 min 13.930,1704.93,1093.93,Oui
2021-06-02T13:37:10.000Z,CoubyStark,F-14B,31 min 23.830,14 min 43.320,1883.83,883.32,Non
2021-06-02T14:17:51.000Z,VK-01 Az,M-2000C,23 min 05.780,14 min 28.320,1385.78,868.32,Oui
2021-06-02T20:30:01.000Z,VK-01 Az,M-2000C,22 min 59.670,14 min 32.190,1379.67,872.19,Oui
2021-06-03T10:03:20.000Z,JTFF | Charly,M-2000C,22 min 56.140,14 min 33.570,1376.14,873.57,Oui
2021-06-03T20:22:17.000Z,R2D2,FA-18C_hornet,29 min 48.970,18 min 38.000,1788.97,1118,Oui
2021-06-03T21:44:44.000Z,R2D2,FA-18C_hornet,28 min 08.360,17 min 45.820,1688.36,1065.82,Oui
2021-06-03T23:16:58.000Z,VK-01 Az,M-2000C,22 min 59.930,14 min 27.250,1379.93,867.25,Oui
2021-06-03T23:46:17.000Z,VK-01 Az,M-2000C,23 min 06.320,14 min 37.790,1386.32,877.79,Oui
2021-06-04T00:25:02.000Z,VK-01 Az,M-2000C,22 min 59.520,14 min 30.430,1379.52,870.43,Oui
2021-06-04T10:33:01.000Z,VK-01 Az,M-2000C,22 min 52.750,14 min 27.140,1372.75,867.14,Oui
2021-06-04T23:19:00.000Z,JTFF | Charly,M-2000C,23 min 01.160,14 min 46.740,1381.16,886.74,Oui
2021-06-05T14:12:47.000Z,R2D2,FA-18C_hornet,27 min 29.600,17 min 34.420,1649.6,1054.42,Oui
2021-06-05T21:51:19.000Z,R2D2,FA-18C_hornet,28 min 07.510,17 min 37.500,1687.51,1057.5,Oui
2021-06-05T22:28:13.000Z,JTFF | Charly,M-2000C,23 min 05.710,14 min 40.600,1385.71,880.6,Oui
2021-06-06T19:39:08.000Z,VK-01 Az,M-2000C,22 min 53.720,14 min 29.490,1373.72,869.49,Oui
2021-06-06T22:56:00.000Z,VK-01 Az,M-2000C,22 min 46.570,14 min 12.390,1366.57,852.39,Non
2021-06-06T23:39:21.000Z,VK-01 Az,M-2000C,22 min 55.130,14 min 35.570,1375.13,875.57,Oui
2021-06-07T13:04:00.000Z,VK-01 Az,M-2000C,22 min 48.280,14 min 25.660,1368.28,865.66,Oui
2021-06-07T20:31:30.000Z,R2D2,FA-18C_hornet,27 min 40.190,17 min 28.000,1660.19,1048,Oui
2021-06-08T18:16:53.000Z,CoubyStark,F-14B,25 min 14.780,14 min 04.670,1514.78,844.67,Non
2021-06-08T22:19:54.000Z,R2D2,FA-18C_hornet,27 min 43.140,17 min 31.440,1663.14,1051.44,Oui
2021-06-09T15:07:03.000Z,VK-01 Az,FA-18C_hornet,27 min 45.280,17 min 31.020,1665.28,1051.02,Oui
2021-06-09T21:09:42.000Z,VK-01 Az,FA-18C_hornet,27 min 23.220,17 min 18.390,1643.22,1038.39,Oui
2021-06-12T11:48:19.000Z,R2D2,FA-18C_hornet,27 min 17.660,17 min 09.950,1637.66,1029.95,Oui
2021-06-12T16:35:56.000Z,VK-01 Az,FA-18C_hornet,26 min 52.430,17 min 04.350,1612.43,1024.35,Oui
2021-06-14T13:57:50.000Z,64vFAS | Mitchos,FA-18C_hornet,30 min 01.730,19 min 28.540,1801.73,1168.54,Oui
2021-06-14T20:55:41.000Z,R2D2,FA-18C_hornet,27 min 36.010,17 min 29.550,1656.01,1049.55,Oui
2021-06-14T21:54:48.000Z,R2D2,FA-18C_hornet,33 min 15.580,21 min 48.570,1995.58,1308.57,Oui
2021-06-17T21:06:34.000Z,R2D2,FA-18C_hornet,28 min 32.300,18 min 10.220,1712.3,1090.22,Oui
2021-06-18T15:09:23.000Z,R2D2,FA-18C_hornet,27 min 19.790,17 min 36.700,1639.79,1056.7,Oui
2021-06-18T15:39:52.000Z,R2D2,FA-18C_hornet,27 min 16.540,17 min 32.060,1636.54,1052.06,Oui
2021-06-18T20:13:03.000Z,R2D2,FA-18C_hornet,27 min 23.560,17 min 34.570,1643.56,1054.57,Oui
2021-06-18T20:42:19.000Z,R2D2,FA-18C_hornet,27 min 03.070,17 min 10.400,1623.07,1030.4,Oui
